method,accuracy,accuracy_ci_low,accuracy_ci_high,SCHR,SCHR_ci_low,SCHR_ci_high,ECE
SCQA,1.0,1.0,1.0,0.0,0.0,0.0,0.052897759883540556
Latest-mention,0.8571428571428571,0.8468988095238096,0.8671488095238095,0.14285714285714285,0.13285119047619048,0.15310119047619045,0.1832097271508239
Recency-RAG,0.7142857142857143,0.7002380952380952,0.7273809523809524,0.2857142857142857,0.2726190476190476,0.2997619047619048,0.1435936950573653
Lexical-RAG,0.7002380952380952,0.6869047619047619,0.7135714285714285,0.2997619047619048,0.2864285714285714,0.3130952380952381,0.09435503953338327
